"Match","Date","League","Opponent","Result"
"3178869138","14 May 2017","4442","Team Empire","Loss"
"3178589992","14 May 2017","4442","Team Empire","Win"
"3178374532","14 May 2017","4442","Team Empire","Loss"
"3176125586","13 May 2017","4442","Natus Vincere","Loss"
"3175916756","13 May 2017","4442","Natus Vincere","Loss"
"3174203319","12 May 2017","4442","mousesports","Win"
"3174129896","12 May 2017","4442","mousesports","Win"
"3173994939","12 May 2017","4442","mousesports","Loss"
"3173298198","12 May 2017","5353","Team Empire","Loss"
"3173205910","12 May 2017","5353","Team Empire","Loss"
"3170316127","10 May 2017","4442","Vega Squadron","Win"
"3170243019","10 May 2017","4442","Vega Squadron","Loss"
"3170161921","10 May 2017","4442","Vega Squadron","Win"
"3169747378","10 May 2017","5353","Natus Vincere","Loss"
"3169592245","10 May 2017","5353","Natus Vincere","Loss"
"3165855247","08 May 2017","4442","Cloud 9","Win"
"3165757252","08 May 2017","4442","Cloud 9","Loss"
"3165610543","08 May 2017","4442","Cloud 9","Win"
"3164169861","07 May 2017","5353","Effect","Win"
"3164113417","07 May 2017","5353","Effect","Win"
"3053712988","13 Mar 2017","5157","Team Secret","Loss"
"3053641442","13 Mar 2017","5157","Team Secret","Loss"
"3053500877","13 Mar 2017","5157","B)ears","Win"
"3053392686","13 Mar 2017","5157","B)ears","Win"
"3051480772","12 Mar 2017","5157","Team Secret","Loss"
"3051343554","12 Mar 2017","5157","Team Secret","Loss"
"3051117616","12 Mar 2017","5157","B)ears","Win"
"3050985697","12 Mar 2017","5157","B)ears","Win"
"3049620265","11 Mar 2017","5157","Prodota Gaming","Win"
"3049397146","11 Mar 2017","5157","4 protect five","Loss"
"3049129583","11 Mar 2017","5157","Team Alternate Attax","Win"
"3048569543","11 Mar 2017","5157","Elements Pro Gaming","Loss"
"3047143659","10 Mar 2017","5157","B)ears","Win"
"3046855882","10 Mar 2017","5157","Ninjas in Pyjamas","Loss"
"3046511778","10 Mar 2017","5157","Cloud 9","Win"
"3046341244","10 Mar 2017","5157","Team Secret","Win"
"3046042387","10 Mar 2017","5157","BeanBoys","Win"
"2996533153","13 Feb 2017","4289","OG Dota2","Loss"
"2996459060","13 Feb 2017","4289","OG Dota2","Loss"
"2996351487","13 Feb 2017","4289","Team AD FINEM","Win"
"2996231157","13 Feb 2017","4289","Team AD FINEM","Win"
"2996126655","13 Feb 2017","4289","Team AD FINEM","Loss"
"2994272179","12 Feb 2017","4289","Ninjas in Pyjamas","Win"
"2994154401","12 Feb 2017","4289","Ninjas in Pyjamas","Win"
"2991714067","11 Feb 2017","4289","OG Dota2","Loss"
"2991607520","11 Feb 2017","4289","OG Dota2","Loss"
"2983671569","07 Feb 2017","5197","Cloud 9","Loss"
"2983571441","07 Feb 2017","5197","Cloud 9","Win"
"2983467479","07 Feb 2017","5197","Cloud 9","Loss"
"2981603045","06 Feb 2017","5197","Ninjas in Pyjamas","Win"
"2981471982","06 Feb 2017","5197","Ninjas in Pyjamas","Win"
"2981368042","06 Feb 2017","5197","Ninjas in Pyjamas","Loss"
"2971099287","03 Feb 2017","5197","Cloud 9","Loss"
"2970960865","03 Feb 2017","5197","Cloud 9","Loss"
"2968086029","02 Feb 2017","5077","Team AD FINEM","Loss"
"2967899663","02 Feb 2017","5077","Team AD FINEM","Win"
"2953903812","29 Jan 2017","5077","Natus Vincere","Win"
"2953803333","29 Jan 2017","5077","Natus Vincere","Loss"
"2953618214","29 Jan 2017","5077","Vega Squadron","Loss"
"2953347997","29 Jan 2017","5077","Vega Squadron","Loss"
"2953035892","29 Jan 2017","5077","Team Secret","Loss"
"2952783140","29 Jan 2017","5077","Team Secret","Loss"
"2949488785","28 Jan 2017","5077","Team Liquid","Win"
"2949305603","28 Jan 2017","5077","Team Liquid","Loss"
"2938293176","25 Jan 2017","5077","Cloud 9","Loss"
"2938142914","25 Jan 2017","5077","Cloud 9","Win"
"2936346246","24 Jan 2017","5077","Horde","Win"
"2936225812","24 Jan 2017","5077","Horde","Win"
"2917087356","15 Jan 2017","4916","Infamous´","Win"
"2916939544","15 Jan 2017","4916","Infamous´","Win"
"2916825477","15 Jan 2017","4916","Infamous´","Loss"
"2915244353","14 Jan 2017","4916","TNC Pro Team","Loss"
"2915053760","14 Jan 2017","4916","TNC Pro Team","Loss"
"2914455460","14 Jan 2017","4916","SG e-sports","Win"
"2914336528","14 Jan 2017","4916","SG e-sports","Win"
"2912739269","13 Jan 2017","4916","aboshamaleh","Win"
