"Match","Date","League","Opponent","Result"
"3178616806","14 May 2017","5353","Clutch Gamers","Loss"
"3178365187","14 May 2017","5353","Clutch Gamers","Win"
"3178195166","14 May 2017","5353","Clutch Gamers","Loss"
"3177921623","14 May 2017","5353","Mineski","Win"
"3177739578","14 May 2017","5353","Mineski","Win"
"3177482879","14 May 2017","5353","Clutch Gamers","Loss"
"3177363836","14 May 2017","5353","Clutch Gamers","Loss"
"3169031283","10 May 2017","5353","Fnatic","Win"
"3168943785","10 May 2017","5353","Fnatic","Win"
"3167186674","09 May 2017","5353","Geek Fam","Win"
"3167004100","09 May 2017","5353","Geek Fam","Win"
"3146730782","29 Apr 2017","5157","OG Dota2","Loss"
"3146595270","29 Apr 2017","5157","OG Dota2","Loss"
"3146474108","29 Apr 2017","5157","OG Dota2","Win"
"3144277462","28 Apr 2017","5157","TNC Pro Team","Win"
"3144175535","28 Apr 2017","5157","TNC Pro Team","Loss"
"3144097046","28 Apr 2017","5157","TNC Pro Team","Win"
"3139950764","25 Apr 2017","5157","Team Liquid","Loss"
"3139858272","25 Apr 2017","5157","Team Liquid","Loss"
"3139035173","25 Apr 2017","5157","SG e-sports","Win"
"3138948575","25 Apr 2017","5157","SG e-sports","Win"
"3138170103","24 Apr 2017","5157","Evil Geniuses","Loss"
"3138062271","24 Apr 2017","5157","Evil Geniuses","Win"
"3137930231","24 Apr 2017","5157","Evil Geniuses","Loss"
"3137347019","24 Apr 2017","5157","Virtus.pro","Loss"
"3137237965","24 Apr 2017","5157","Virtus.pro","Loss"
"3117946839","14 Apr 2017","5313","Mineski","Win"
"3117804510","14 Apr 2017","5313","Mineski","Loss"
"3117652407","14 Apr 2017","5313","Mineski","Win"
"3115470596","13 Apr 2017","5313","Team EVOS","Win"
"3115399220","13 Apr 2017","5313","Team EVOS","Win"
"3112290760","11 Apr 2017","5313","Geek Fam","Win"
"3112184948","11 Apr 2017","5313","Geek Fam","Win"
"3112014640","11 Apr 2017","5313","Geek Fam","Loss"
"3110234942","10 Apr 2017","5313","Rex Regum QEON","Win"
"3110137206","10 Apr 2017","5313","Rex Regum QEON","Win"
"3108002974","09 Apr 2017","4442","Geek Fam","Loss"
"3107901065","09 Apr 2017","4442","Geek Fam","Loss"
"3103334763","07 Apr 2017","4442","Happy Feet","Loss"
"3103247078","07 Apr 2017","4442","Happy Feet","Loss"
"3093041474","02 Apr 2017","5197","Evil Geniuses","Loss"
"3092888633","02 Apr 2017","5197","Evil Geniuses","Loss"
"3091480186","01 Apr 2017","5197","Team Liquid","Win"
"3084261916","29 Mar 2017","5197","LGD.Forever Young","Loss"
"3084205752","29 Mar 2017","5197","LGD.Forever Young","Loss"
"3082936922","28 Mar 2017","5197","the wings gaming","Loss"
"3082827449","28 Mar 2017","5197","the wings gaming","Loss"
"3082510222","28 Mar 2017","5197","Team VGJ","Win"
"3082420567","28 Mar 2017","5197","Team VGJ","Loss"
"3081556630","27 Mar 2017","5197","Team Empire","Loss"
"3081418147","27 Mar 2017","5197","Team Empire","Win"
"3080759588","27 Mar 2017","5197","OG Dota2","Loss"
"3080665877","27 Mar 2017","5197","OG Dota2","Loss"
"3050968329","12 Mar 2017","5157","Mineski","Win"
"3050852128","12 Mar 2017","5157","Mineski","Win"
"3050688922","12 Mar 2017","5157","Mineski","Loss"
"3050501207","12 Mar 2017","5157","TNC Pro Team","Win"
"3050371528","12 Mar 2017","5157","TNC Pro Team","Loss"
"3050198757","12 Mar 2017","5157","TNC Pro Team","Win"
"3048768269","11 Mar 2017","5157","TNC Pro Team","Loss"
"3048404511","11 Mar 2017","5157","WarriorsGaming.Unity","Loss"
"3048088526","11 Mar 2017","5157","Execration","Win"
"3047573379","11 Mar 2017","5157","Geek Fam","Win"
"3047508602","11 Mar 2017","5157","Prestige World Wide","Win"
"3046197499","10 Mar 2017","5157","WarriorsGaming.Youth","Win"
"3045974572","10 Mar 2017","5157","Rex Regum QEON","Win"
"3045588750","10 Mar 2017","5157","Mineski","Win"
"3045423864","10 Mar 2017","5157","Clutch Gamers","Win"
"3036919730","05 Mar 2017","3726","WarriorsGaming.Unity","Win"
"3036757284","05 Mar 2017","3726","WarriorsGaming.Unity","Win"
"3036631111","05 Mar 2017","3726","WarriorsGaming.Unity","Win"
"3032008366","03 Mar 2017","3726","Clutch Gamers","Win"
"3031875960","03 Mar 2017","3726","Clutch Gamers","Win"
"3028466100","01 Mar 2017","3726","Mineski","Win"
"3028349106","01 Mar 2017","3726","Mineski","Win"
"3022715515","26 Feb 2017","3726","Execration","Win"
"3022638167","26 Feb 2017","3726","Execration","Win"
"2995935151","13 Feb 2017","3726","YoungMinds","Win"
"2995828384","13 Feb 2017","3726","YoungMinds","Win"
"2995599563","13 Feb 2017","3726","WarriorsGaming.Unity","Loss"
"2995514811","13 Feb 2017","3726","WarriorsGaming.Unity","Win"
"2991445403","11 Feb 2017","3726","MVP HOT6","Win"
"2991303590","11 Feb 2017","3726","MVP HOT6","Win"
"2991134529","11 Feb 2017","3726","Mineski","Win"
"2991020827","11 Feb 2017","3726","Mineski","Win"
"2988704822","10 Feb 2017","5197","WarriorsGaming.Unity","Win"
"2988609800","10 Feb 2017","5197","WarriorsGaming.Unity","Win"
"2988397066","10 Feb 2017","5197","TNC Pro Team","Win"
"2988308823","10 Feb 2017","5197","TNC Pro Team","Win"
"2986834561","09 Feb 2017","5197","WarriorsGaming.Unity","Loss"
"2986720363","09 Feb 2017","5197","WarriorsGaming.Unity","Win"
"2986617948","09 Feb 2017","5197","WarriorsGaming.Unity","Loss"
"2984415242","08 Feb 2017","5197","Mineski","Win"
"2984356176","08 Feb 2017","5197","Mineski","Win"
"2976083678","05 Feb 2017","5197","WarriorsGaming.Unity","Win"
"2975926730","05 Feb 2017","5197","WarriorsGaming.Unity","Win"
"2968860662","03 Feb 2017","5197","Trust","Win"
"2968747068","03 Feb 2017","5197","Trust","Win"
"2937986860","25 Jan 2017","5077","Fnatic","Win"
"2937890666","25 Jan 2017","5077","Fnatic","Win"
"2937718328","25 Jan 2017","5077","TNC Pro Team","Win"
"2937622175","25 Jan 2017","5077","TNC Pro Team","Win"
"2937483886","25 Jan 2017","5077","Execration","Win"
"2937395309","25 Jan 2017","5077","Execration","Loss"
"2932445392","22 Jan 2017","4979","OG Dota2","Loss"
"2931948355","22 Jan 2017","4979","Invictus Gaming","Win"
"2931616151","22 Jan 2017","4979","Virtus.pro","Win"
"2930254550","21 Jan 2017","4979","Digital Chaos","Win"
"2929457462","21 Jan 2017","4979","Evil Geniuses","Loss"
"2929339617","21 Jan 2017","4979","Evil Geniuses","Loss"
"2929231317","21 Jan 2017","4979","Evil Geniuses","Win"
"2921213889","17 Jan 2017","5077","Power Gaming","Win"
"2921100624","17 Jan 2017","5077","Power Gaming","Win"
"2919690822","16 Jan 2017","5077","Mineski","Loss"
"2919575310","16 Jan 2017","5077","Mineski","Win"
"2919438462","16 Jan 2017","5077","WarriorsGaming.Unity","Loss"
"2919299870","16 Jan 2017","5077","WarriorsGaming.Unity","Win"
"2919166954","16 Jan 2017","5077","Geek Fam","Win"
"2919101348","16 Jan 2017","5077","Geek Fam","Win"
"2831392646","08 Dec 2016","4874","Digital Chaos","Loss"
"2831265624","08 Dec 2016","4874","Digital Chaos","Loss"
"2823643177","04 Dec 2016","4874","Evil Geniuses","Loss"
"2823591515","04 Dec 2016","4874","Evil Geniuses","Loss"
"2823125045","04 Dec 2016","4874","LGD-GAMING","Loss"
"2822991559","04 Dec 2016","4874","LGD-GAMING","Loss"
"2787526941","18 Nov 2016","4442","Digital Chaos","Loss"
"2787439607","18 Nov 2016","4442","Digital Chaos","Win"
"2787378013","18 Nov 2016","4442","Digital Chaos","Loss"
"2785327828","17 Nov 2016","4442","Evil Geniuses","Loss"
"2785280169","17 Nov 2016","4442","Evil Geniuses","Win"
"2785210504","17 Nov 2016","4442","Evil Geniuses","Loss"
"2761162080","06 Nov 2016","4979","MVP Phoenix","Win"
"2761034944","06 Nov 2016","4979","MVP Phoenix","Loss"
"2760899434","06 Nov 2016","4979","MVP Phoenix","Win"
