"Match","Date","League","Opponent","Result"
"3175170931","13 May 2017","4442","LGD-GAMING","Loss"
"3175065918","13 May 2017","4442","LGD-GAMING","Loss"
"3173613618","12 May 2017","4442","Newbee","Win"
"3173425070","12 May 2017","4442","Newbee","Win"
"3168912978","10 May 2017","4442","iG.Vitality","Win"
"3168811846","10 May 2017","4442","iG.Vitality","Loss"
"3168722698","10 May 2017","4442","iG.Vitality","Win"
"3166810612","09 May 2017","4442","EHOME","Loss"
"3148357328","30 Apr 2017","5157","Virtus.pro","Loss"
"3148230043","30 Apr 2017","5157","Virtus.pro","Loss"
"3146324886","29 Apr 2017","5157","Team Liquid","Win"
"3146197371","29 Apr 2017","5157","Team Liquid","Loss"
"3146085916","29 Apr 2017","5157","Team Liquid","Win"
"3142583303","27 Apr 2017","5157","mousesports","Win"
"3142488820","27 Apr 2017","5157","mousesports","Loss"
"3142390443","27 Apr 2017","5157","mousesports","Win"
"3139776903","25 Apr 2017","5157","Evil Geniuses","Win"
"3139633624","25 Apr 2017","5157","Evil Geniuses","Win"
"3139507911","25 Apr 2017","5157","Evil Geniuses","Loss"
"3139089878","25 Apr 2017","5157","Team Secret","Loss"
"3139007373","25 Apr 2017","5157","Team Secret","Loss"
"3137782735","24 Apr 2017","5157","OG Dota2","Win"
"3137643518","24 Apr 2017","5157","OG Dota2","Win"
"3137130045","24 Apr 2017","5157","mousesports","Win"
"3137048108","24 Apr 2017","5157","mousesports","Win"
"3122034132","16 Apr 2017","4546","Vici Gaming","Win"
"3121875138","16 Apr 2017","4546","Vici Gaming","Win"
"3121770658","16 Apr 2017","4546","Vici Gaming","Win"
"3121611119","16 Apr 2017","4546","Vici Gaming","Loss"
"3121511821","16 Apr 2017","4546","Vici Gaming","Loss"
"3121296726","16 Apr 2017","4546","iG.Vitality","Win"
"3121182980","16 Apr 2017","4546","iG.Vitality","Win"
"3119824132","15 Apr 2017","4920","Newbee","Loss"
"3119672623","15 Apr 2017","4920","Newbee","Loss"
"3119559531","15 Apr 2017","4920","Newbee","Win"
"3119351316","15 Apr 2017","4546","CDEC Gaming","Win"
"3119236752","15 Apr 2017","4546","CDEC Gaming","Win"
"3117724659","14 Apr 2017","4546","LGD.Forever Young","Win"
"3117560428","14 Apr 2017","4546","LGD.Forever Young","Loss"
"3117466119","14 Apr 2017","4546","LGD.Forever Young","Win"
"3115842248","13 Apr 2017","4546","Vici Gaming","Loss"
"3115720297","13 Apr 2017","4546","Vici Gaming","Loss"
"3115552275","13 Apr 2017","4920","LGD-GAMING","Loss"
"3115460951","13 Apr 2017","4920","LGD-GAMING","Win"
"3111838965","11 Apr 2017","4546","EHOME.KEEN","Win"
"3111761470","11 Apr 2017","4546","EHOME.KEEN","Win"
"3107779938","09 Apr 2017","4920","the wings gaming","Win"
"3107622917","09 Apr 2017","4920","the wings gaming","Win"
"3107460306","09 Apr 2017","4920","Team VGJ","Win"
"3107396330","09 Apr 2017","4920","Team VGJ","Win"
"3105319047","08 Apr 2017","4920","team_ftd_c","Win"
