"Match","Date","League","Opponent","Result"
"3173613618","12 May 2017","4442","Invictus Gaming","Loss"
"3173425070","12 May 2017","4442","Invictus Gaming","Loss"
"3173278037","12 May 2017","4442","CDEC Gaming","Loss"
"3173186555","12 May 2017","4442","CDEC Gaming","Win"
"3173098656","12 May 2017","4442","CDEC Gaming","Loss"
"3167496899","09 May 2017","4442","LGD.Forever Young","Win"
"3167346840","09 May 2017","4442","LGD.Forever Young","Loss"
"3167198314","09 May 2017","4442","LGD.Forever Young","Win"
"3164732533","08 May 2017","5353","Unknown Dire Team","Loss"
"3164636763","08 May 2017","5353","Unknown Radiant Team","Loss"
"3164547740","08 May 2017","5353","LGD.Forever Young","Win"
"3162498830","07 May 2017","5353","Team VGJ","Loss"
"3142994571","27 Apr 2017","5157","Team Liquid","Loss"
"3142860818","27 Apr 2017","5157","Team Liquid","Loss"
"3142741991","27 Apr 2017","5157","Team Liquid","Win"
"3139885713","25 Apr 2017","5157","Team Random","Win"
"3139778329","25 Apr 2017","5157","Team Random","Win"
"3138877020","25 Apr 2017","5157","Evil Geniuses","Loss"
"3138784941","25 Apr 2017","5157","Evil Geniuses","Loss"
"3138150479","24 Apr 2017","5157","mousesports","Win"
"3138060601","24 Apr 2017","5157","mousesports","Win"
"3137939382","24 Apr 2017","5157","mousesports","Loss"
"3137420384","24 Apr 2017","5157","Digital Chaos","Loss"
"3137304243","24 Apr 2017","5157","Digital Chaos","Loss"
"3121548471","16 Apr 2017","4920","LGD-GAMING","Win"
"3121429987","16 Apr 2017","4920","LGD-GAMING","Loss"
"3121295778","16 Apr 2017","4920","LGD-GAMING","Win"
"3121205119","16 Apr 2017","4920","LGD-GAMING","Win"
"3119824132","15 Apr 2017","4920","Invictus Gaming","Win"
"3119672623","15 Apr 2017","4920","Invictus Gaming","Win"
"3119559531","15 Apr 2017","4920","Invictus Gaming","Loss"
"3117566878","14 Apr 2017","4920","Team VGJ","Win"
"3117463033","14 Apr 2017","4920","Team VGJ","Win"
"3115904141","13 Apr 2017","4920","LGD-GAMING","Loss"
"3115789845","13 Apr 2017","4920","iG.Vitality","Loss"
"3115657570","13 Apr 2017","4920","iG.Vitality","Win"
"3107992768","09 Apr 2017","4920","Vici Gaming","Loss"
"3107881131","09 Apr 2017","4920","Vici Gaming","Win"
"3105100845","08 Apr 2017","4920","LGD.Forever Young","Win"
"3105001416","08 Apr 2017","4920","LGD.Forever Young","Win"
"3103523157","07 Apr 2017","4920","Invictus Gaming","Win"
"3103421920","07 Apr 2017","4920","Invictus Gaming","Loss"
"3096835333","04 Apr 2017","5197","Invictus Gaming","Loss"
"3096748100","04 Apr 2017","5197","Invictus Gaming","Loss"
