"Match","Date","League","Opponent","Result"
"3169403528","10 May 2017","5353","Clutch Gamers","Loss"
"3169312660","10 May 2017","5353","Clutch Gamers","Loss"
"3169208514","10 May 2017","5353","Clutch Gamers","Win"
"3162752866","07 May 2017","5353","MVP.Revolution","Win"
"3162636427","07 May 2017","5353","MVP.Revolution","Win"
"3162514732","07 May 2017","5353","MVP.Revolution","Loss"
"3161077574","06 May 2017","5313","Clutch Gamers","Loss"
"3160881740","06 May 2017","5313","Clutch Gamers","Win"
"3160757162","06 May 2017","5313","Clutch Gamers","Loss"
"3160546059","06 May 2017","5313","Clutch Gamers","Loss"
"3158889625","05 May 2017","5313","Happy Feet","Win"
"3158743406","05 May 2017","5313","Happy Feet","Win"
"3158415334","05 May 2017","5313","RRnatics","Win"
"3158345091","05 May 2017","5313","RRnatics","Win"
"3144277462","28 Apr 2017","5157","Faceless","Loss"
"3144175535","28 Apr 2017","5157","Faceless","Win"
"3144097046","28 Apr 2017","5157","Faceless","Loss"
"3140008780","25 Apr 2017","5157","Digital Chaos","Win"
"3139957604","25 Apr 2017","5157","Digital Chaos","Win"
"3139882151","25 Apr 2017","5157","Digital Chaos","Loss"
"3138908078","25 Apr 2017","5157","Virtus.pro","Loss"
"3138772596","25 Apr 2017","5157","Virtus.pro","Loss"
"3137947452","24 Apr 2017","5157","THUNDERBIRDS","Win"
"3137800908","24 Apr 2017","5157","THUNDERBIRDS","Win"
"3137684735","24 Apr 2017","5157","THUNDERBIRDS","Loss"
"3137421315","24 Apr 2017","5157","Evil Geniuses","Win"
"3137325049","24 Apr 2017","5157","Evil Geniuses","Win"
"3119752275","15 Apr 2017","4442","WarriorsGaming.Unity","Loss"
"3119621304","15 Apr 2017","4442","WarriorsGaming.Unity","Loss"
"3117727808","14 Apr 2017","4442","Happy Feet","Loss"
"3117580281","14 Apr 2017","4442","Happy Feet","Loss"
"3117431107","14 Apr 2017","4442","Happy Feet","Win"
"3106109681","08 Apr 2017","4442","WarriorsGaming.Unity","Win"
"3105980778","08 Apr 2017","4442","WarriorsGaming.Unity","Loss"
"3105842850","08 Apr 2017","4442","WarriorsGaming.Unity","Win"
"3103669471","07 Apr 2017","4442","Fnatic","Win"
"3103515457","07 Apr 2017","4442","Fnatic","Win"
"3052725203","13 Mar 2017","5157","Mineski","Win"
"3052604418","13 Mar 2017","5157","Mineski","Loss"
"3052509281","13 Mar 2017","5157","Mineski","Win"
"3052409831","13 Mar 2017","5157","Clutch Gamers","Win"
"3052353620","13 Mar 2017","5157","Clutch Gamers","Win"
"3052273459","13 Mar 2017","5157","Clutch Gamers","Loss"
"3050501207","12 Mar 2017","5157","Faceless","Loss"
"3050371528","12 Mar 2017","5157","Faceless","Win"
"3050198757","12 Mar 2017","5157","Faceless","Loss"
"3048768269","11 Mar 2017","5157","Faceless","Win"
"3048014577","11 Mar 2017","5157","WarriorsGaming.Youth","Win"
"3047835883","11 Mar 2017","5157","Rex Regum QEON","Win"
"3047649227","11 Mar 2017","5157","Mineski","Win"
"3046496478","10 Mar 2017","5157","Clutch Gamers","Loss"
"3046318564","10 Mar 2017","5157","Prestige World Wide","Win"
"3045976946","10 Mar 2017","5157","WarriorsGaming.Unity","Win"
"3045682599","10 Mar 2017","5157","Execration","Win"
"3045498557","10 Mar 2017","5157","Geek Fam","Loss"
"3021563452","26 Feb 2017","5077","Team Liquid","Loss"
"3021494571","26 Feb 2017","5077","Team Liquid","Loss"
"3019798451","25 Feb 2017","5077","Team Secret","Win"
"3019669867","25 Feb 2017","5077","Team Secret","Loss"
"3019553801","25 Feb 2017","5077","Team Secret","Win"
"3019107360","25 Feb 2017","5077","iG.Vitality","Win"
"3019035018","25 Feb 2017","5077","iG.Vitality","Win"
"3014944497","23 Feb 2017","5077","OG Dota2","Loss"
"3014869433","23 Feb 2017","5077","OG Dota2","Loss"
"3005831207","18 Feb 2017","3726","Trust","Win"
"3005719581","18 Feb 2017","3726","Trust","Win"
"3005491044","18 Feb 2017","3726","Clutch Gamers","Win"
"3005342375","18 Feb 2017","3726","Clutch Gamers","Loss"
"3001656145","16 Feb 2017","3726","Geek Fam","Win"
"3001543467","16 Feb 2017","3726","Geek Fam","Loss"
"3001338560","16 Feb 2017","3726","Execration","Loss"
"3001258873","16 Feb 2017","3726","Execration","Win"
"2988397066","10 Feb 2017","5197","Faceless","Loss"
"2988308823","10 Feb 2017","5197","Faceless","Loss"
"2986537078","09 Feb 2017","5197","Mineski","Win"
"2986432328","09 Feb 2017","5197","Mineski","Win"
"2986341487","09 Feb 2017","5197","Mineski","Loss"
"2984862241","08 Feb 2017","5197","WarriorsGaming.Unity","Loss"
"2984744617","08 Feb 2017","5197","WarriorsGaming.Unity","Loss"
"2984639741","08 Feb 2017","5197","WarriorsGaming.Unity","Win"
"2976515921","05 Feb 2017","5197","Mineski","Win"
"2976385447","05 Feb 2017","5197","Mineski","Win"
"2972367043","04 Feb 2017","5197","Rex Regum QEON","Win"
"2972204245","04 Feb 2017","5197","Rex Regum QEON","Win"
"2937718328","25 Jan 2017","5077","Faceless","Loss"
"2937622175","25 Jan 2017","5077","Faceless","Loss"
"2936097094","24 Jan 2017","5077","WarriorsGaming.Unity","Win"
"2935963848","24 Jan 2017","5077","WarriorsGaming.Unity","Win"
"2935571623","24 Jan 2017","5077","Execration","Win"
"2935481448","24 Jan 2017","5077","Execration","Win"
"2933839164","23 Jan 2017","5077","Geek Fam","Win"
"2933762291","23 Jan 2017","5077","Geek Fam","Win"
"2931812218","22 Jan 2017","5077","Power Gaming","Win"
"2931731104","22 Jan 2017","5077","Power Gaming","Win"
"2925551833","19 Jan 2017","5077","Fnatic","Loss"
"2925450543","19 Jan 2017","5077","Fnatic","Win"
"2923325494","18 Jan 2017","5077","Mineski","Win"
"2923213865","18 Jan 2017","5077","Mineski","Win"
"2916670126","15 Jan 2017","4916","Cloud 9","Win"
"2916584067","15 Jan 2017","4916","Cloud 9","Loss"
"2916500234","15 Jan 2017","4916","Cloud 9","Win"
"2915244353","14 Jan 2017","4916","Alliance","Win"
"2915053760","14 Jan 2017","4916","Alliance","Win"
"2914541014","14 Jan 2017","4916","Team DileCom","Win"
"2914404217","14 Jan 2017","4916","Team DileCom","Loss"
"2914322816","14 Jan 2017","4916","Team DileCom","Win"
"2912747881","13 Jan 2017","4916","Comanche","Win"
"2912626306","13 Jan 2017","4916","Comanche","Win"
"2912377707","13 Jan 2017","4916","Signature.Dota2","Win"
"2912256312","13 Jan 2017","4916","Signature.Dota2","Win"
"2912027206","13 Jan 2017","4916","Team Ukraine","Win"
"2911969546","13 Jan 2017","4916","Team Ukraine","Loss"
