"Match","Date","League","Opponent","Result"
"3176700913","13 May 2017","5336","Team Empire","Loss"
"3176588039","13 May 2017","5336","Team Empire","Win"
"3176445805","13 May 2017","5336","mousesports","Win"
"3176294300","13 May 2017","5336","mousesports","Win"
"3175652467","13 May 2017","5336","Elements Pro Gaming","Win"
"3175552353","13 May 2017","5336","Elements Pro Gaming","Win"
"3174252897","12 May 2017","5336","Team Secret","Loss"
"3174172918","12 May 2017","5336","Team Secret","Win"
"3174044578","12 May 2017","5336","Natus Vincere","Win"
"3173910801","12 May 2017","5336","Natus Vincere","Win"
"3168326700","09 May 2017","5336","Vega Squadron","Loss"
"3168267304","09 May 2017","5336","Vega Squadron","Win"
"3146324886","29 Apr 2017","5157","Invictus Gaming","Loss"
"3146197371","29 Apr 2017","5157","Invictus Gaming","Win"
"3146085916","29 Apr 2017","5157","Invictus Gaming","Loss"
"3142994571","27 Apr 2017","5157","Newbee","Win"
"3142860818","27 Apr 2017","5157","Newbee","Win"
"3142741991","27 Apr 2017","5157","Newbee","Loss"
"3139950764","25 Apr 2017","5157","Faceless","Win"
"3139858272","25 Apr 2017","5157","Faceless","Win"
"3139282085","25 Apr 2017","5157","Digital Chaos","Loss"
"3139188766","25 Apr 2017","5157","Digital Chaos","Win"
"3139050421","25 Apr 2017","5157","Digital Chaos","Loss"
"3138094830","24 Apr 2017","5157","SG e-sports","Win"
"3138003121","24 Apr 2017","5157","SG e-sports","Win"
"3137462784","24 Apr 2017","5157","THUNDERBIRDS","Loss"
"3137360770","24 Apr 2017","5157","THUNDERBIRDS","Loss"
"3137262488","24 Apr 2017","5157","THUNDERBIRDS","Win"
"3091480186","01 Apr 2017","5197","Faceless","Loss"
"3084691162","29 Mar 2017","5197","Team NP","Win"
"3084402972","29 Mar 2017","5197","iG.Vitality","Win"
"3084344226","29 Mar 2017","5197","iG.Vitality","Win"
"3083437700","28 Mar 2017","5197","Team NP","Loss"
"3083318471","28 Mar 2017","5197","Team NP","Win"
"3082689492","28 Mar 2017","5197","Evil Geniuses","Win"
"3082594701","28 Mar 2017","5197","Evil Geniuses","Loss"
"3081031452","27 Mar 2017","5197","Newbee","Win"
"3080872675","27 Mar 2017","5197","Newbee","Loss"
"3080582346","27 Mar 2017","5197","Invictus Gaming","Loss"
"3080499473","27 Mar 2017","5197","Invictus Gaming","Loss"
"3022691596","26 Feb 2017","5077","Team VGJ","Win"
"3022528136","26 Feb 2017","5077","Team VGJ","Win"
"3022421923","26 Feb 2017","5077","Team VGJ","Win"
"3022275063","26 Feb 2017","5077","Team VGJ","Loss"
"3021563452","26 Feb 2017","5077","TNC Pro Team","Win"
"3021494571","26 Feb 2017","5077","TNC Pro Team","Win"
"3017670954","24 Feb 2017","5077","the wings gaming","Win"
"3017538227","24 Feb 2017","5077","the wings gaming","Win"
"3017039372","24 Feb 2017","5077","Team VGJ","Win"
"3016975808","24 Feb 2017","5077","Team VGJ","Win"
"3016869728","24 Feb 2017","5077","Team VGJ","Loss"
"2989649323","10 Feb 2017","5197","B)ears","Win"
"2989528495","10 Feb 2017","5197","B)ears","Win"
"2987642896","09 Feb 2017","5197","B)ears","Win"
"2987524070","09 Feb 2017","5197","B)ears","Win"
"2987413414","09 Feb 2017","5197","B)ears","Loss"
"2985537145","08 Feb 2017","5197","Team Secret","Win"
"2985468097","08 Feb 2017","5197","Team Secret","Win"
"2978346983","05 Feb 2017","5197","Cloud 9","Win"
"2978221218","05 Feb 2017","5197","Cloud 9","Win"
"2974403760","04 Feb 2017","5197","Ninjas in Pyjamas","Win"
"2974171489","04 Feb 2017","5197","Ninjas in Pyjamas","Loss"
"2973954222","04 Feb 2017","5197","Ninjas in Pyjamas","Win"
"2949488785","28 Jan 2017","5077","Alliance","Loss"
"2949305603","28 Jan 2017","5077","Alliance","Win"
"2949039476","28 Jan 2017","5077","Natus Vincere","Win"
"2948857919","28 Jan 2017","5077","Natus Vincere","Win"
"2944989853","27 Jan 2017","5077","Team Secret","Win"
"2944800004","27 Jan 2017","5077","Team Secret","Win"
"2940748308","26 Jan 2017","5077","Team AD FINEM","Loss"
"2940685387","26 Jan 2017","5077","Team AD FINEM","Win"
"2940560214","26 Jan 2017","5077","Vega Squadron","Win"
"2940466874","26 Jan 2017","5077","Vega Squadron","Loss"
"2938474954","25 Jan 2017","5077","Horde","Win"
"2938404464","25 Jan 2017","5077","Horde","Win"
"2936538368","24 Jan 2017","5077","Cloud 9","Win"
"2936465377","24 Jan 2017","5077","Cloud 9","Win"
"2805241804","26 Nov 2016","4951","Escape Gaming","Win"
"2805082605","26 Nov 2016","4951","Escape Gaming","Win"
"2804920505","26 Nov 2016","4951","Escape Gaming","Win"
"2802775501","25 Nov 2016","4951","Alliance","Win"
"2802627490","25 Nov 2016","4951","Alliance","Win"
"2802459377","25 Nov 2016","4951","Cloud 9","Win"
"2802303938","25 Nov 2016","4951","Cloud 9","Win"
"2759029289","05 Nov 2016","4289","Team NP","Loss"
"2758951386","05 Nov 2016","4289","Team NP","Loss"
"2758687202","05 Nov 2016","4289","Escape Gaming","Win"
"2758556399","05 Nov 2016","4289","Escape Gaming","Win"
"2758241073","05 Nov 2016","4357","Team AD FINEM","Loss"
"2758086417","05 Nov 2016","4357","Team AD FINEM","Loss"
"2756536301","04 Nov 2016","4951","Cloud 9","Win"
"2756407670","04 Nov 2016","4951","Cloud 9","Loss"
"2754112360","03 Nov 2016","4951","Team AD FINEM","Win"
"2754028951","03 Nov 2016","4951","Team AD FINEM","Win"
"2752002464","02 Nov 2016","4289","Kaipi","Loss"
"2751901110","02 Nov 2016","4289","Kaipi","Loss"
"2751755320","02 Nov 2016","4289","Kaipi","Win"
"2745421694","30 Oct 2016","4874","Virtus.pro","Loss"
"2745278713","30 Oct 2016","4874","Virtus.pro","Win"
"2745115469","30 Oct 2016","4874","Virtus.pro","Loss"
"2744863884","30 Oct 2016","4874","Team AD FINEM","Loss"
"2744740675","30 Oct 2016","4874","Team AD FINEM","Loss"
"2741865248","29 Oct 2016","4874","Virtus.pro","Win"
"2741787963","29 Oct 2016","4874","Virtus.pro","Win"
"2740818402","28 Oct 2016","4874","Team Secret","Loss"
"2740725576","28 Oct 2016","4874","Fantastic Five","Win"
"2740429436","28 Oct 2016","4874","Virtus.pro","Loss"
"2739822782","28 Oct 2016","4874","Escape Gaming","Win"
"2739526620","28 Oct 2016","4874","Vega Squadron","Win"
"2739368825","28 Oct 2016","4874","Natus Vincere","Loss"
"2738365296","27 Oct 2016","4874","Alliance","Win"
"2738242665","27 Oct 2016","4874","Team AD FINEM","Win"
"2737968257","27 Oct 2016","4874","Cloud 9","Loss"
"2734452096","25 Oct 2016","4951","Escape Gaming","Loss"
"2734318994","25 Oct 2016","4951","Escape Gaming","Loss"
"2727813625","22 Oct 2016","4979","Effect","Loss"
"2727672233","22 Oct 2016","4979","Effect","Loss"
"2727505966","22 Oct 2016","4979","Effect","Loss"
"2723384574","20 Oct 2016","4951","Alliance","Win"
"2723306714","20 Oct 2016","4951","Alliance","Win"
"2723133668","20 Oct 2016","4979","Team Secret","Win"
"2723014224","20 Oct 2016","4979","Team Secret","Win"
"2721319658","19 Oct 2016","4951","Team NP","Loss"
"2721261967","19 Oct 2016","4951","Team NP","Win"
"2721119493","19 Oct 2016","4979","Effect","Win"
"2721005610","19 Oct 2016","4979","Effect","Win"
"2718918129","18 Oct 2016","4442","Virtus.pro","Loss"
"2718785428","18 Oct 2016","4442","Virtus.pro","Loss"
"2717444292","17 Oct 2016","4442","Team AD FINEM","Loss"
"2717363456","17 Oct 2016","4442","Team AD FINEM","Win"
"2717267408","17 Oct 2016","4442","Team AD FINEM","Loss"
"2715383801","16 Oct 2016","4442","Friends","Win"
"2715277069","16 Oct 2016","4442","Friends","Win"
"2708121940","13 Oct 2016","4951","Vega Squadron","Win"
"2708009312","13 Oct 2016","4951","Vega Squadron","Loss"
"2704004787","11 Oct 2016","4951","Virtus.pro","Loss"
"2703926104","11 Oct 2016","4951","Virtus.pro","Loss"
"2564547149","12 Aug 2016","4664","Fnatic","Loss"
"2564485350","11 Aug 2016","4664","Fnatic","Loss"
"2562425844","11 Aug 2016","4664","Newbee","Win"
"2562388622","10 Aug 2016","4664","Newbee","Win"
"2562303634","10 Aug 2016","4664","Newbee","Loss"
"2558534849","09 Aug 2016","4664","Natus Vincere","Win"
"2551633824","06 Aug 2016","4664","Team Secret","Loss"
"2551542809","06 Aug 2016","4664","Team Secret","Loss"
"2551474091","06 Aug 2016","4664","Digital Chaos","Loss"
"2551398734","05 Aug 2016","4664","Digital Chaos","Loss"
"2549644214","05 Aug 2016","4664","Fnatic","Win"
"2549584654","05 Aug 2016","4664","Fnatic","Win"
"2549469759","05 Aug 2016","4664","Vici_Gaming Reborn","Loss"
"2549410407","05 Aug 2016","4664","Vici_Gaming Reborn","Loss"
"2549342148","05 Aug 2016","4664","MVP Phoenix","Loss"
"2549289998","04 Aug 2016","4664","MVP Phoenix","Win"
"2547593329","04 Aug 2016","4664","EHOME","Loss"
"2547524050","04 Aug 2016","4664","EHOME","Win"
"2547459841","04 Aug 2016","4664","Newbee","Loss"
"2547411769","04 Aug 2016","4664","Newbee","Win"
"2510927175","17 Jul 2016","4442","OG Dota2","Loss"
"2510831821","17 Jul 2016","4442","OG Dota2","Win"
"2510756612","17 Jul 2016","4442","OG Dota2","Loss"
"2509022908","17 Jul 2016","4442","Natus Vincere","Win"
"2508984462","17 Jul 2016","4442","Natus Vincere","Win"
"2508641831","16 Jul 2016","4442","Digital Chaos","Win"
"2508519627","16 Jul 2016","4442","Digital Chaos","Win"
"2504746331","15 Jul 2016","4442","the wings gaming","Loss"
"2504645577","15 Jul 2016","4442","the wings gaming","Loss"
"2504584763","15 Jul 2016","4442","the wings gaming","Win"
"2504247299","14 Jul 2016","4442","Unknown Dire Team","Win"
"2504180385","14 Jul 2016","4442","Unknown Radiant Team","Win"
"2504081168","14 Jul 2016","4442","Unknown Radiant Team","Loss"
"2480045573","03 Jul 2016","4716","_PowerRangers","Win"
"2479959008","03 Jul 2016","4716","_PowerRangers","Win"
"2479865783","03 Jul 2016","4716","_PowerRangers","Loss"
"2447365661","19 Jun 2016","4554","OG Dota2","Loss"
"2447190474","19 Jun 2016","4554","OG Dota2","Loss"
"2447074169","19 Jun 2016","4554","OG Dota2","Win"
"2445668674","18 Jun 2016","4554","Alliance","Win"
"2445483404","18 Jun 2016","4554","Alliance","Win"
"2444663195","18 Jun 2016","4554","Fnatic","Win"
"2444509429","18 Jun 2016","4554","Fnatic","Win"
"2442244100","17 Jun 2016","4554","Vega Squadron","Loss"
"2442113000","17 Jun 2016","4554","Vega Squadron","Win"
"2442004818","17 Jun 2016","4554","Vega Squadron","Loss"
"2430984806","12 Jun 2016","4479","OG Dota2","Loss"
"2430853227","12 Jun 2016","4479","OG Dota2","Loss"
"2430738353","12 Jun 2016","4479","OG Dota2","Loss"
"2430618706","12 Jun 2016","4479","OG Dota2","Win"
"2430271395","12 Jun 2016","4479","Newbee","Win"
"2430186583","12 Jun 2016","4479","Newbee","Win"
"2430120102","12 Jun 2016","4479","Newbee","Loss"
"2428563481","11 Jun 2016","4479","LGD-GAMING","Win"
"2428372192","11 Jun 2016","4479","LGD-GAMING","Win"
"2426001580","10 Jun 2016","4479","Fnatic","Win"
"2425850818","10 Jun 2016","4479","Fnatic","Win"
"2425267177","10 Jun 2016","4479","Natus Vincere","Win"
"2425188750","10 Jun 2016","4479","Natus Vincere","Win"
"2421317079","08 Jun 2016","4479","compLexity Gaming","Win"
"2421177492","08 Jun 2016","4479","compLexity Gaming","Win"
"2418415538","07 Jun 2016","4479","MVP Phoenix","Loss"
"2418319460","07 Jun 2016","4479","MVP Phoenix","Loss"
"2411460113","04 Jun 2016","4479","Fnatic","Win"
"2411342644","04 Jun 2016","4479","Fnatic","Loss"
"2411196189","04 Jun 2016","4479","Fnatic","Win"
"2411081738","04 Jun 2016","4479","Alliance","Win"
"2410986712","04 Jun 2016","4479","Alliance","Loss"
"2410892086","04 Jun 2016","4479","Alliance","Win"
"2365934194","15 May 2016","4461","Newbee","Win"
"2365829219","15 May 2016","4461","Newbee","Win"
"2365714841","15 May 2016","4461","Newbee","Loss"
"2365584366","15 May 2016","4461","Newbee","Loss"
"2365455182","15 May 2016","4461","Newbee","Win"
"2362849384","14 May 2016","4461","OG Dota2","Win"
"2362722554","14 May 2016","4461","OG Dota2","Win"
"2358375544","12 May 2016","4461","Evil Geniuses","Win"
"2358275776","12 May 2016","4461","Evil Geniuses","Win"
"2353764925","10 May 2016","4461","OG Dota2","Win"
"2353646896","10 May 2016","4461","OG Dota2","Win"
"2353463767","10 May 2016","4461","OG Dota2","Loss"
"2353290933","10 May 2016","4461","compLexity Gaming","Win"
"2353132853","10 May 2016","4461","compLexity Gaming","Loss"
"2353055474","10 May 2016","4461","compLexity Gaming","Win"
"2317015332","24 Apr 2016","4357","the wings gaming","Loss"
"2316821675","24 Apr 2016","4357","the wings gaming","Loss"
