"Match","Date","League","Opponent","Result"
"3166997279","09 May 2017","5353","LGD.Forever Young","Loss"
"3166900519","09 May 2017","5353","LGD.Forever Young","Loss"
"3164964520","08 May 2017","5353","LGD-GAMING","Loss"
"3164845962","08 May 2017","5353","LGD-GAMING","Loss"
"3162498830","07 May 2017","5353","Newbee","Win"
"3147190590","29 Apr 2017","5157","Virtus.pro","Loss"
"3147083553","29 Apr 2017","5157","Virtus.pro","Loss"
"3146937153","29 Apr 2017","5157","Virtus.pro","Win"
"3143329659","27 Apr 2017","5157","Digital Chaos","Win"
"3143205143","27 Apr 2017","5157","Digital Chaos","Win"
"3139661732","25 Apr 2017","5157","mousesports","Win"
"3139520318","25 Apr 2017","5157","mousesports","Win"
"3138956853","25 Apr 2017","5157","THUNDERBIRDS","Loss"
"3138850326","25 Apr 2017","5157","THUNDERBIRDS","Win"
"3138775969","25 Apr 2017","5157","THUNDERBIRDS","Loss"
"3138232418","24 Apr 2017","5157","iG.Vitality","Win"
"3138154278","24 Apr 2017","5157","iG.Vitality","Loss"
"3138061022","24 Apr 2017","5157","iG.Vitality","Win"
"3137154342","24 Apr 2017","5157","Team Secret","Loss"
"3137076847","24 Apr 2017","5157","Team Secret","Loss"
"3117566878","14 Apr 2017","4920","Newbee","Loss"
"3117463033","14 Apr 2017","4920","Newbee","Loss"
"3115295331","13 Apr 2017","4920","LGD.Forever Young","Win"
"3115220977","13 Apr 2017","4920","LGD.Forever Young","Loss"
"3107460306","09 Apr 2017","4920","Invictus Gaming","Loss"
"3107396330","09 Apr 2017","4920","Invictus Gaming","Loss"
"3103082855","07 Apr 2017","4920","team_ftd_c","Win"
"3103014126","07 Apr 2017","4920","team_ftd_c","Win"
"3101729346","06 Apr 2017","4920","EHOME.KEEN","Loss"
"3101519863","06 Apr 2017","4920","EHOME.KEEN","Win"
"3101196298","06 Apr 2017","4920","LGD-GAMING","Loss"
"3101088124","06 Apr 2017","4920","LGD-GAMING","Win"
"3092701862","02 Apr 2017","5197","iG.Vitality","Loss"
"3092610492","02 Apr 2017","5197","iG.Vitality","Loss"
"3092535908","02 Apr 2017","5197","iG.Vitality","Win"
"3091016058","01 Apr 2017","5197","Team NP","Win"
"3084383551","29 Mar 2017","5197","OG Dota2","Loss"
"3084312846","29 Mar 2017","5197","OG Dota2","Win"
"3083607335","28 Mar 2017","5197","Team Empire","Loss"
"3083443258","28 Mar 2017","5197","Team Empire","Loss"
"3082510222","28 Mar 2017","5197","Faceless","Loss"
"3082420567","28 Mar 2017","5197","Faceless","Win"
"3081305682","27 Mar 2017","5197","the wings gaming","Loss"
"3081180342","27 Mar 2017","5197","the wings gaming","Loss"
"3080567585","27 Mar 2017","5197","LGD.Forever Young","Loss"
"3080503377","27 Mar 2017","5197","LGD.Forever Young","Win"
