"Match","Date","League","Opponent","Result"
"3176652040","13 May 2017","5353","Natus Vincere","Loss"
"3176542698","13 May 2017","5353","Natus Vincere","Win"
"3176414167","13 May 2017","5353","Natus Vincere","Loss"
"3176154295","13 May 2017","5336","Elements Pro Gaming","Win"
"3176006304","13 May 2017","5336","Elements Pro Gaming","Win"
"3175770526","13 May 2017","5353","Team Empire","Win"
"3175600767","13 May 2017","5353","Team Empire","Loss"
"3175497089","13 May 2017","5353","Team Empire","Win"
"3174058622","12 May 2017","5353","Team Singularity","Win"
"3173967572","12 May 2017","5353","Team Singularity","Win"
"3172197011","11 May 2017","5336","mousesports","Win"
"3172135290","11 May 2017","5336","mousesports","Win"
"3171880059","11 May 2017","5353","Effect","Win"
"3171769278","11 May 2017","5353","Effect","Win"
"3171640842","11 May 2017","4442","Natus Vincere","Loss"
"3171497461","11 May 2017","4442","Natus Vincere","Win"
"3171366949","11 May 2017","4442","Natus Vincere","Loss"
"3170316127","10 May 2017","4442","Alliance","Loss"
"3170243019","10 May 2017","4442","Alliance","Win"
"3170161921","10 May 2017","4442","Alliance","Loss"
"3168326700","09 May 2017","5336","Team Liquid","Win"
"3168267304","09 May 2017","5336","Team Liquid","Loss"
"3164040620","07 May 2017","5353","Natus Vincere","Loss"
"3163937850","07 May 2017","5353","Natus Vincere","Loss"
"3163783659","07 May 2017","5353","Natus Vincere","Win"
"3163547724","07 May 2017","4442","Natus Vincere","Win"
"3163419018","07 May 2017","4442","Natus Vincere","Win"
"3160494402","06 May 2017","4442","Elements Pro Gaming","Win"
"3160395722","06 May 2017","4442","Elements Pro Gaming","Win"
"3159385619","05 May 2017","5336","Team Secret","Loss"
"3159307895","05 May 2017","5336","Team Secret","Win"
"3158722490","05 May 2017","4442","Team. Spirit","Win"
"3158574466","05 May 2017","4442","Team. Spirit","Win"
"3158442455","05 May 2017","4442","Elements Pro Gaming","Loss"
"3157596729","04 May 2017","5336","Team Empire","Win"
"3157507860","04 May 2017","5336","Team Empire","Loss"
"3157405047","04 May 2017","5336","Natus Vincere","Loss"
"3157282417","04 May 2017","5336","Natus Vincere","Win"
"3135910053","23 Apr 2017","4546","Comanche","Win"
"3135773698","23 Apr 2017","4546","Comanche","Win"
"3130052412","20 Apr 2017","4546","Elements Pro Gaming","Win"
"3129976470","20 Apr 2017","4546","Elements Pro Gaming","Win"
"3049405700","11 Mar 2017","5157","Team. Spirit","Loss"
"3049026196","11 Mar 2017","5157","Natus Vincere","Loss"
"3048760494","11 Mar 2017","5157","Double Dimension","Win"
"3048557882","11 Mar 2017","5157","Friends","Win"
"3048303199","11 Mar 2017","5157","Virtus.pro","Loss"
"3047016068","10 Mar 2017","5157","Comanche","Win"
"3046898789","10 Mar 2017","5157","Hive","Win"
